Date/Time,THERMAL ZONE 1:Zone Air System Sensible Heating Rate [W](Hourly),THERMAL ZONE 1:Zone Air System Sensible Cooling Rate [W](Hourly),THERMAL ZONE 1:Zone Air Temperature [C](Hourly),THERMAL ZONE 1:Zone Air Relative Humidity [%](Hourly) 
 08/21  01:00:00,0,0,27.59049134,47.05961493
 08/21  02:00:00,0,0,27.44123863,47.97074069
 08/21  03:00:00,0,0,27.30440095,48.53872465
 08/21  04:00:00,0,0,27.17315764,48.97915162
 08/21  05:00:00,0,0,27.04984741,49.35753939
 08/21  06:00:00,0,0,26.95694189,49.63522802
 08/21  07:00:00,0,67.47399401,25.98620186,49.72327054
 08/21  08:00:00,0,55.4854262,26,47.3301086
 08/21  09:00:00,0,61.50996079,26,46.17068421
 08/21  10:00:00,0,70.91517922,26,45.3776475
 08/21  11:00:00,0,83.00196934,26,44.68195596
 08/21  12:00:00,0,96.62689687,26,43.99169911
 08/21  13:00:00,0,111.4769026,26,43.35127543
 08/21  14:00:00,0,127.0747038,26,42.76399494
 08/21  15:00:00,0,141.1068055,26,42.28240659
 08/21  16:00:00,0,151.4647815,26,41.94809226
 08/21  17:00:00,0,158.3245678,26,41.74735545
 08/21  18:00:00,0,161.973035,26,41.63835784
 08/21  19:00:00,0,160.3967038,26,41.63947495
 08/21  20:00:00,0,155.0120951,26,41.75702074
 08/21  21:00:00,0,147.7568108,26,41.92672431
 08/21  22:00:00,0,136.398088,26,42.19331172
 08/21  23:00:00,0,0,27.65279689,41.8207789
 08/21  24:00:00,0,0,27.75345144,45.26599563
 08/21  01:00:00,0,0,22.01778275,77.92621059
 08/21  02:00:00,0,0,21.82476642,75.64911546
 08/21  03:00:00,0,0,21.65700325,73.98868883
 08/21  04:00:00,0,0,21.49731541,72.8485879
 08/21  05:00:00,0,0,21.34003627,72.01042968
 08/21  06:00:00,0,0,21.20643282,71.66399233
 08/21  07:00:00,0,0,21.1217406,72.53082173
 08/21  08:00:00,0,0,21.12108422,75.52365075
 08/21  09:00:00,0,0,21.21786295,81.77213026
 08/21  10:00:00,0,0,21.3934027,89.9510157
 08/21  11:00:00,0,0,21.65984416,94.67935457
 08/21  12:00:00,0,0,21.99341495,95.09689093
 08/21  13:00:00,0,0,22.27384581,94.33816645
 08/21  14:00:00,0,0,22.53077811,93.191947
 08/21  15:00:00,0,0,22.73927762,92.13855795
 08/21  16:00:00,0,0,22.89052262,91.34085576
 08/21  17:00:00,0,0,22.9961224,90.77071582
 08/21  18:00:00,0,0,23.05699308,90.43588528
 08/21  19:00:00,0,0,23.03207444,90.56482953
 08/21  20:00:00,0,0,22.90984121,91.17641077
 08/21  21:00:00,0,0,22.75459219,90.26470704
 08/21  22:00:00,0,0,22.57892731,87.32626972
 08/21  23:00:00,0,0,22.36841361,83.99750359
 08/21  24:00:00,0,0,22.14623724,81.03177207
 08/21  01:00:00,0,0,25.30267651,74.97233939
