Date/Time,THERMAL ZONE 1:Zone Air System Sensible Heating Rate [W](Hourly),THERMAL ZONE 1:Zone Air System Sensible Cooling Rate [W](Hourly),THERMAL ZONE 1:Zone Air Temperature [C](Hourly),THERMAL ZONE 1:Zone Air Relative Humidity [%](Hourly) 
 08/21  01:00:00,0.0,43.87296720358718,29.7,37.077805874508044 
 08/21  02:00:00,0.0,4.740003603756123,29.645775556503622,39.6254834894064 
 08/21  03:00:00,0.0,0.0,29.14776597726991,42.613018424910315 
 08/21  04:00:00,0.0,0.0,28.58401995434885,44.739390163570235 
 08/21  05:00:00,0.0,0.0,28.08789451097445,46.31331094316792 
 08/21  06:00:00,0.0,0.0,27.661962705804946,47.57617685479572 
 08/21  07:00:00,0.0,106.49296976342116,25.981258140582213,47.9565659346266 
 08/21  08:00:00,0.0,65.51762099902285,26.0,45.49048579223857 
 08/21  09:00:00,0.0,59.85341962431189,26.0,45.63150932533816 
 08/21  10:00:00,0.0,76.26491434318123,26.0,45.23919164942969 
 08/21  11:00:00,0.0,124.11053017934778,26.0,43.60132649630783 
 08/21  12:00:00,0.0,206.12616288175096,26.0,41.40742064529172 
 08/21  13:00:00,0.0,312.95703235002827,26.0,39.754435707397285 
 08/21  14:00:00,0.0,427.5440190221889,26.0,38.7907828604735 
 08/21  15:00:00,0.0,531.4609012728044,26.0,38.25931480090653 
 08/21  16:00:00,0.0,618.2122217277104,26.0,37.954456142650535 
 08/21  17:00:00,0.0,692.8052369202683,26.0,37.755829130826484 
 08/21  18:00:00,0.0,751.6296201889955,26.0,37.62516397044866 
 08/21  19:00:00,0.0,782.2336451244819,26.0,37.563554056359685 
 08/21  20:00:00,0.0,775.0472907763756,26.0,37.575439763585884 
 08/21  21:00:00,0.0,724.7734153378108,26.0,37.67140706970251 
 08/21  22:00:00,0.0,631.9812349019593,26.0,37.8854774474729 
 08/21  23:00:00,0.0,141.91283644442973,29.591095872045486,33.40261216096387 
 08/21  24:00:00,0.0,98.54966398744227,29.7,35.22060897167611 
 08/21  01:00:00,0.0,0.0,24.800255983676024,64.25542332161471 
 08/21  02:00:00,0.0,0.0,23.93489124108878,65.9414729720428 
 08/21  03:00:00,0.0,0.0,23.173455736652265,67.2275147107456 
 08/21  04:00:00,0.0,0.0,22.491267751879064,68.46759175049169 
 08/21  05:00:00,0.0,0.0,21.884964085923997,69.61198372939032 
 08/21  06:00:00,0.0,0.0,21.360415294663092,70.97744930787097 
 08/21  07:00:00,0.0,0.0,20.927922825853912,73.39860805282619 
 08/21  08:00:00,0.0,0.0,20.59900106632862,77.99309672522202 
 08/21  09:00:00,0.0,0.0,20.42040776171006,85.88198623622569 
 08/21  10:00:00,0.0,0.0,20.526165159578344,94.85218747421337 
 08/21  11:00:00,0.0,0.0,21.043053969872286,98.3093745932027 
 08/21  12:00:00,0.0,0.0,22.01122478745546,95.00017557229337 
 08/21  13:00:00,0.0,0.0,23.292245696100895,88.71079853427781 
 08/21  14:00:00,0.0,0.0,24.61207079970381,82.22645890060048 
 08/21  15:00:00,0.0,5.907873314663638,25.73811378225745,76.75248965444152 
 08/21  16:00:00,0.0,64.97037692976846,26.0,68.70186373614668 
 08/21  17:00:00,0.0,127.9975849010209,26.0,59.9273984419588 
 08/21  18:00:00,0.0,186.98105936334778,26.0,55.357052203209854 
 08/21  19:00:00,0.0,224.31261241706548,26.0,52.39381203143704 
 08/21  20:00:00,0.0,229.2725011236621,26.0,50.006640364249435 
 08/21  21:00:00,0.0,196.78328595526673,26.0,48.882576398379385 
 08/21  22:00:00,0.0,128.13889441607972,26.0,49.85785895995539 
 08/21  23:00:00,0.0,0.0,26.6027845575914,53.94903031711374 
 08/21  24:00:00,0.0,0.0,25.794711719735812,60.82481539462553 
 08/21  01:00:00,0.0,0.0,28.46561061425096,60.14888324551165 
 08/21  02:00:00,0.0,0.0,27.680660056902877,64.39866919968213 
 08/21  03:00:00,0.0,0.0,26.993242111145584,67.58034609816241 
 08/21  04:00:00,0.0,0.0,26.380360568076725,70.26125351800815 
 08/21  05:00:00,0.0,0.0,25.831714992761697,72.64946749544268 
 08/21  06:00:00,0.0,0.0,25.35926230652961,74.74068666968 
 08/21  07:00:00,0.0,0.0,24.98738914068436,76.42410591492258 
 08/21  08:00:00,0.0,0.0,24.74206790551999,77.55967297262261 
 08/21  09:00:00,0.0,0.0,24.633033094228942,78.07945786769373 
 08/21  10:00:00,0.0,0.0,24.793929238292844,77.34964219564948 
 08/21  11:00:00,0.0,0.0,25.377611944956588,74.72858288087565 
 08/21  12:00:00,0.0,35.51128917960254,25.98822012436795,69.49717520920869 
 08/21  13:00:00,0.0,116.04792841610943,26.0,60.22526304290879 
 08/21  14:00:00,0.0,215.8470847564924,26.0,52.99530373173936 
 08/21  15:00:00,0.0,314.09766616364567,26.0,45.48443521659125 
 08/21  16:00:00,0.0,399.1557158328136,26.0,42.48022198481793 
 08/21  17:00:00,0.0,473.74093953161446,26.0,41.528134191706144 
 08/21  18:00:00,0.0,533.839644338587,26.0,40.95052243966718 
 08/21  19:00:00,0.0,567.0220361486687,26.0,40.67061173308701 
 08/21  20:00:00,0.0,563.8272684345131,26.0,40.675051565359134 
 08/21  21:00:00,0.0,519.0675166925678,26.0,40.99121917487642 
 08/21  22:00:00,0.0,433.3408158515069,26.0,41.763228615397324 
 08/21  23:00:00,0.0,4.718029519708614,29.467939142794442,43.28884503199628 
 08/21  24:00:00,0.0,0.0,29.252219320635998,53.81115385333203 
 08/21  01:00:00,0.0,0.0,28.403443111932148,60.8319331854691 
 08/21  02:00:00,0.0,0.0,27.616096256489563,65.12641671822729 
 08/21  03:00:00,0.0,0.0,26.92771135284274,68.3441018898063 
 08/21  04:00:00,0.0,0.0,26.313512297522003,71.06016182783382 
 08/21  05:00:00,0.0,0.0,25.763678357525187,73.48119039638684 
 08/21  06:00:00,0.0,0.0,25.290223025248032,75.60167816426345 
 08/21  07:00:00,0.0,0.0,24.91755487354913,77.3089443177846 
 08/21  08:00:00,0.0,0.0,24.67062827375677,78.46572611877701 
 08/21  09:00:00,0.0,0.0,24.560122897372764,78.99872214075717 
 08/21  10:00:00,0.0,0.0,24.719789461563312,78.26554396629643 
 08/21  11:00:00,0.0,0.0,25.301775123605733,75.61948561475403 
 08/21  12:00:00,0.0,31.21536194401556,25.9744392861211,70.46542091549121 
 08/21  13:00:00,0.0,111.09213393754025,26.0,61.04714463158105 
 08/21  14:00:00,0.0,209.80997015346665,26.0,53.63918640870598 
 08/21  15:00:00,0.0,307.7287793215467,26.0,46.16803144703268 
 08/21  16:00:00,0.0,392.6814546979501,26.0,42.68494968384988 
 08/21  17:00:00,0.0,467.25097231371257,26.0,41.68190864461582 
 08/21  18:00:00,0.0,527.3924145289309,26.000000000000007,41.080752500030954 
 08/21  19:00:00,0.0,560.6691906699192,26.0,40.789316066905265 
 08/21  20:00:00,0.0,557.6197685413243,26.0,40.79229807526009 
 08/21  21:00:00,0.0,513.0576415137155,26.0,41.11737982938352 
 08/21  22:00:00,0.0,427.5822277206595,26.0,41.91398009339835 
 08/21  23:00:00,0.0,2.6840692284970693,29.448736908549755,43.671618488732236 
 08/21  24:00:00,0.0,0.0,29.19530319791652,54.4411916790393 
 01/21  01:00:00,991.3724718582434,0.0,20.0,32.873423801835074 
 01/21  02:00:00,991.6108239822664,0.0,20.0,32.873423607636624 
 01/21  03:00:00,991.8351975965986,0.0,20.0,32.87342399603355 
 01/21  04:00:00,992.0464177180475,0.0,20.0,32.8734238018351 
 01/21  05:00:00,992.2452597035423,0.0,20.0,32.873424093132755 
 01/21  06:00:00,992.4324524109804,0.0,20.0,32.87342360763662 
 01/21  07:00:00,992.6086811296207,0.0,20.0,32.87342389893432 
 01/21  08:00:00,992.7745903014862,0.0,20.0,32.87342351053742 
 01/21  09:00:00,992.9307860525844,0.0,20.0,32.87342399603356 
 01/21  10:00:00,993.0778385505297,0.0,20.0,32.8734238018351 
 01/21  11:00:00,993.2162842032058,0.0,20.0,32.87342360763662 
 01/21  12:00:00,993.3466277115012,0.0,20.0,32.87342331633894 
 01/21  13:00:00,993.4693439877183,0.0,20.0,32.873423801835074 
 01/21  14:00:00,993.584879950036,0.0,20.0,32.87342351053742 
 01/21  15:00:00,993.693656202399,0.0,20.0,32.87342370473588 
 01/21  16:00:00,993.796068608226,0.0,20.0,32.87342360763664 
 01/21  17:00:00,993.8924897655918,0.0,20.0,32.873423413438175 
 01/21  18:00:00,993.983270390815,0.0,20.0,32.873423801835095 
 01/21  19:00:00,994.068740616763,0.0,20.0,32.87342389893433 
 01/21  20:00:00,994.1492112116764,0.0,20.0,32.87342389893433 
 01/21  21:00:00,994.2249747237871,0.0,20.0,32.87342370473584 
 01/21  22:00:00,994.296306556644,0.0,20.0,32.87342360763662 
 01/21  23:00:00,994.3634659795931,0.0,20.0,32.873423801835045 
 01/21  24:00:00,994.4266970776143,0.0,20.0,32.8734237047358 
 01/21  01:00:00,372.2731491497162,0.0,20.0,65.73706118211896 
 01/21  02:00:00,372.4153367820783,0.0,20.0,65.73706176462765 
 01/21  03:00:00,372.54953321338695,0.0,20.0,65.7370607937799 
 01/21  04:00:00,372.67618619786805,0.0,20.0,65.73706098794942 
 01/21  05:00:00,372.79571851256316,0.0,20.0,65.7370613762885 
 01/21  06:00:00,372.9085293471832,0.0,20.0,65.73706157045805 
 01/21  07:00:00,373.01499561505835,0.0,20.0,65.73706137628854 
 01/21  08:00:00,373.1154731902653,0.0,20.0,65.73706118211899 
 01/21  09:00:00,373.2102980755272,0.0,20.0,65.73706098794942 
 01/21  10:00:00,373.29978750508445,0.0,20.0,65.7370613762885 
 01/21  11:00:00,373.3842409863787,0.0,20.0,65.73706118211895 
 01/21  12:00:00,373.4639412841067,0.0,20.0,65.73706118211895 
 01/21  13:00:00,373.53915534992785,0.0,20.0,65.7370609879494 
